gene,oe_lof,oe_lof_lower,oe_lof_upper,oe_lof_upper_rank,pLI
FAM204A,0.39185,0.214,0.773,7973.0,0.008495
PFAS,0.58998,0.454,0.773,7974.0,9.8526e-18
ACPL2,0.4118,0.233,0.773,7975.0,0.0030898
EPB42,0.52692,0.367,0.773,7976.0,9.9014e-09
FAM102B,0.44273,0.266,0.773,7977.0,0.00039858
GRWD1,0.44293,0.266,0.773,7978.0,0.00039721
KCNA7,0.2991,0.135,0.773,7979.0,0.14232
PCDHGB6,0.49418,0.325,0.773,7980.0,2.0925e-06
UNC13D,0.59397,0.46,0.773,7981.0,1.091e-18
SLC7A10,0.45632,0.281,0.774,7982.0,0.00013879
PIGK,0.4566,0.281,0.774,7983.0,0.0001381
APCDD1L,0.33825,0.166,0.774,7984.0,0.058959
KCNS2,0.33816,0.166,0.774,7985.0,0.059023
SRPX,0.41209,0.233,0.774,7986.0,0.0030756
BUD13,0.49488,0.326,0.774,7987.0,2.0613e-06
C1orf101,0.55773,0.408,0.774,7988.0,4.9865e-12
SPACA1,0.36835,0.192,0.774,7989.0,0.022692
BASP1,0.0,0.0,0.774,7990.0,0.69168
FAM160B2,0.52237,0.36,0.775,7991.0,2.83e-08
B4GALNT3,0.57732,0.435,0.775,7992.0,6.7902e-15
CENPT,0.48742,0.316,0.775,7993.0,5.8498e-06
F12,0.51654,0.353,0.775,7994.0,8.2526e-08
ZNF385B,0.42943,0.251,0.775,7995.0,0.0010962
C19orf57,0.45672,0.281,0.775,7996.0,0.00013778
PFKFB2,0.5104,0.345,0.775,7997.0,2.3914e-07
ANAPC15,0.24632,0.1,0.775,7998.0,0.29581
SYT16,0.49591,0.327,0.775,7999.0,2.0162e-06
RNF122,0.3001,0.136,0.776,8000.0,0.14077
VPS37B,0.33919,0.166,0.776,8001.0,0.058263
AZI1,0.58312,0.443,0.776,8002.0,7.3631e-16
NLRP4,0.53426,0.375,0.776,8003.0,3.1842e-09
ALDH1L1,0.55567,0.404,0.776,8004.0,1.4114e-11
GGNBP1,0.0,0.0,0.776,8005.0,0.69112
CHGB,0.51094,0.345,0.776,8006.0,2.3622e-07
L3MBTL1,0.56369,0.414,0.777,8007.0,1.5474e-12
ZGPAT,0.445,0.267,0.777,8008.0,0.00038328
ANGEL1,0.52959,0.368,0.777,8009.0,9.2452e-09
OR6C1,0.16382,0.057,0.777,8010.0,0.50471
NBAS,0.65227,0.549,0.777,8011.0,5.0234e-43
ATP5O,0.33936,0.166,0.777,8012.0,0.058145
ARL6IP1,0.3695,0.192,0.777,8013.0,0.022339
EDEM2,0.50429,0.336,0.777,8014.0,6.8274e-07
FTH1,0.3006,0.136,0.777,8015.0,0.13999
SLC2A4,0.4694,0.294,0.777,8016.0,4.7123e-05
GTSF1,0.37014,0.192,0.778,8017.0,0.022144
AVIL,0.57078,0.424,0.778,8018.0,1.6972e-13
SFXN2,0.43134,0.252,0.778,8019.0,0.0010626
RNASEK,0.16413,0.057,0.778,8020.0,0.50355
HS3ST3B1,0.2472,0.1,0.778,8021.0,0.29349
HTR1E,0.24722,0.1,0.778,8022.0,0.29344
AP000304.12,0.30084,0.136,0.778,8023.0,0.13962
TEX15,0.6189,0.495,0.778,8024.0,4.9939e-25
DHODH,0.41394,0.234,0.778,8025.0,0.0029884
CIPC,0.33985,0.166,0.778,8026.0,0.057788
GRPEL1,0.30115,0.136,0.778,8027.0,0.13916
PHGDH,0.45865,0.282,0.778,8028.0,0.00013308
MED17,0.53558,0.376,0.778,8029.0,3.0751e-09
PLEK,0.43109,0.252,0.778,8030.0,0.001067
ZNF451,0.56443,0.415,0.778,8031.0,1.5111e-12
ZNF354A,0.48919,0.317,0.778,8032.0,5.6407e-06
RFWD3,0.5449,0.388,0.778,8033.0,3.5331e-10
RRP1B,0.5357,0.376,0.778,8034.0,3.0653e-09
CCR7,0.34008,0.167,0.778,8035.0,0.057623
CDON,0.58252,0.44,0.779,8036.0,2.0608e-15
MARS,0.58262,0.441,0.779,8037.0,2.0536e-15
NEXN,0.55416,0.4,0.779,8038.0,3.9115e-11
USP53,0.57143,0.425,0.779,8039.0,1.6605e-13
ZDHHC6,0.48079,0.307,0.779,8040.0,1.6026e-05
DEGS1,0.3014,0.136,0.779,8041.0,0.13877
CORO1B,0.47081,0.295,0.779,8042.0,4.5885e-05
EIF1B,0.16437,0.057,0.779,8043.0,0.50271
SLC25A6,0.30152,0.136,0.779,8044.0,0.13859
CETN2,0.1642,0.057,0.779,8045.0,0.50331
LRRC71,0.49846,0.328,0.779,8046.0,1.9091e-06
ADGB,0.61148,0.483,0.78,8047.0,3.7200999999999996e-22
ATF5,0.24791,0.1,0.78,8048.0,0.29163
GPR176,0.39528,0.215,0.78,8049.0,0.0080793
CINP,0.34078,0.167,0.78,8050.0,0.057122
SLC46A1,0.37109,0.193,0.78,8051.0,0.021858
SYT6,0.39497,0.215,0.78,8052.0,0.0081153
ZNF33B,0.49914,0.329,0.78,8053.0,1.8817e-06
MRPL27,0.16453,0.057,0.78,8054.0,0.50212
ZMAT1,0.43216,0.253,0.78,8055.0,0.0010485
IRX2,0.37117,0.193,0.78,8056.0,0.021836
CTSL,0.39557,0.216,0.781,8057.0,0.0080454
TK1,0.30237,0.137,0.781,8058.0,0.13731
PSMD10,0.16474,0.058,0.781,8059.0,0.50136
RAB3IL1,0.44745,0.269,0.781,8060.0,0.00036755
RASAL3,0.55158,0.396,0.781,8061.0,1.114e-10
NARS,0.53719,0.377,0.781,8062.0,2.9489e-09
JPH2,0.47163,0.296,0.781,8063.0,4.5187e-05
CC2D2A,0.6274,0.507,0.781,8064.0,1.6721e-27
PSMB8,0.37131,0.193,0.781,8065.0,0.021795
ZNF428,0.16475,0.058,0.781,8066.0,0.5013
TXK,0.53257,0.371,0.781,8067.0,8.5733e-09
FOXD1,0.0,0.0,0.781,8068.0,0.68874
TRAT1,0.34174,0.167,0.782,8069.0,0.056441
TMTC4,0.53842,0.378,0.782,8070.0,2.8555e-09
PCMTD2,0.39601,0.216,0.782,8071.0,0.0079948
CAPN5,0.52709,0.363,0.782,8072.0,2.5197e-08
CAST,0.56386,0.412,0.782,8073.0,4.1218e-12
EFCAB12,0.48283,0.308,0.782,8074.0,1.5401e-05
WDPCP,0.55232,0.396,0.782,8075.0,1.0908e-10
ZBED1,0.44837,0.269,0.782,8076.0,0.00036187
XPC,0.55619,0.402,0.782,8077.0,3.6866e-11
C2orf44,0.43361,0.253,0.782,8078.0,0.0010242
C16orf45,0.30264,0.137,0.782,8079.0,0.13691
OS9,0.53842,0.378,0.782,8080.0,2.8559e-09
TSPAN15,0.39633,0.216,0.782,8081.0,0.0079572
CCDC108,0.62768,0.506,0.783,8082.0,4.7186000000000004e-27
PTGS1,0.50835,0.339,0.783,8083.0,6.2425e-07
TPM1,0.43408,0.254,0.783,8084.0,0.0010165
TPP1,0.50825,0.339,0.783,8085.0,6.2564e-07
BTBD17,0.37245,0.194,0.783,8086.0,0.021462
XRRA1,0.53355,0.371,0.783,8087.0,8.3651e-09
SAMD9L,0.58289,0.439,0.783,8088.0,5.5651e-15
CYP4F22,0.49232,0.32,0.783,8089.0,5.2921e-06
TTC37,0.6336,0.515,0.783,8090.0,1.725e-29
DNAJB13,0.41698,0.236,0.783,8091.0,0.0028524
DTX3L,0.49253,0.32,0.783,8092.0,5.2697e-06
DNAJC16,0.55678,0.402,0.783,8093.0,3.6232e-11
PAQR9,0.30277,0.137,0.783,8094.0,0.1367
TOR2A,0.30313,0.137,0.783,8095.0,0.13617
PAK4,0.47355,0.297,0.784,8096.0,4.3602e-05
SLC35D1,0.44942,0.27,0.784,8097.0,0.00035546
SLMO2,0.30325,0.137,0.784,8098.0,0.136
TIMP1,0.16531,0.058,0.784,8099.0,0.4993
TAF6,0.534,0.372,0.784,8100.0,8.2703e-09
GJA4,0.3427,0.168,0.784,8101.0,0.055777
TTC27,0.57786,0.431,0.784,8102.0,4.9343e-14
SDCCAG8,0.56158,0.408,0.784,8103.0,1.1809e-11
SCN7A,0.59584,0.457,0.784,8104.0,2.1568e-17
DCTN6,0.34275,0.168,0.784,8105.0,0.055741
BCCIP,0.39727,0.217,0.784,8106.0,0.0078502
GSS,0.50236,0.331,0.785,8107.0,1.7584e-06
MAMDC2,0.54957,0.392,0.785,8108.0,3.1044e-10
CCDC144A,0.57896,0.432,0.785,8109.0,4.7554e-14
IGSF11,0.43512,0.254,0.785,8110.0,0.00099965
ADRA1B,0.30365,0.137,0.785,8111.0,0.13541
CKM,0.39758,0.217,0.785,8112.0,0.0078152
ITGA10,0.60509,0.47,0.785,8113.0,2.4464e-19
TMEM182,0.34293,0.168,0.785,8114.0,0.05562
BRK1,0.0,0.0,0.785,8115.0,0.68706
BRIP1,0.5949,0.455,0.786,8116.0,6.206e-17
ERCC3,0.55866,0.404,0.786,8117.0,3.4312e-11
OPN1SW,0.37359,0.194,0.786,8118.0,0.021134
PRPS1L1,0.24981,0.101,0.786,8119.0,0.28673
YOD1,0.30407,0.137,0.786,8120.0,0.1348
GPR161,0.45045,0.271,0.786,8121.0,0.00034935
HJURP,0.51718,0.349,0.786,8122.0,2.0485e-07
KIAA0226,0.57687,0.429,0.787,8123.0,1.387e-13
BTLA,0.37412,0.195,0.787,8124.0,0.020987
ZNF414,0.34376,0.168,0.787,8125.0,0.055057
ATP10D,0.60844,0.474,0.787,8126.0,7.561e-20
TAP2,0.52474,0.358,0.787,8127.0,6.799e-08
L2HGDH,0.47527,0.298,0.787,8128.0,4.2231e-05
FIGNL1,0.46425,0.285,0.787,8129.0,0.00012046
INPP5K,0.47523,0.298,0.787,8130.0,4.2264e-05
EMP1,0.16593,0.058,0.787,8131.0,0.49706
GPSM3,0.24994,0.101,0.787,8132.0,0.28641
TBC1D2,0.55091,0.393,0.787,8133.0,2.9932e-10
CNGA2,0.43621,0.255,0.787,8134.0,0.00098232
EHD4,0.4757,0.298,0.787,8135.0,4.1903e-05
MED4,0.39944,0.218,0.788,8136.0,0.0076107
FOXC2,0.30492,0.138,0.788,8137.0,0.13356
NAIF1,0.25025,0.101,0.788,8138.0,0.28561
TH,0.50432,0.332,0.788,8139.0,1.6878e-06
BTBD1,0.46478,0.286,0.788,8140.0,0.00011935
SFXN1,0.43687,0.255,0.788,8141.0,0.00097212
ZDHHC7,0.43652,0.255,0.788,8142.0,0.00097756
AK4,0.30494,0.138,0.788,8143.0,0.13353
SLC4A1AP,0.5473,0.387,0.788,8144.0,8.6733e-10
RP11-108K14.8,0.43705,0.256,0.789,8145.0,0.00096926
ZNF45,0.51254,0.342,0.789,8146.0,5.6996e-07
SGCA,0.4203,0.238,0.789,8147.0,0.0027124
SH3GL2,0.46513,0.286,0.789,8148.0,0.00011862
RNPEPL1,0.47657,0.299,0.789,8149.0,4.124e-05
DISC1,0.50467,0.332,0.789,8150.0,1.6756e-06
CWC25,0.47684,0.299,0.789,8151.0,4.1031e-05
MBP,0.25071,0.101,0.789,8152.0,0.28446
KCTD5,0.34496,0.169,0.789,8153.0,0.054252
GPR37,0.4524,0.272,0.789,8154.0,0.00033812
AMT,0.42008,0.238,0.789,8155.0,0.0027214
NXPH3,0.25072,0.102,0.789,8156.0,0.28443
CA11,0.43786,0.256,0.79,8157.0,0.00095695
DSG2,0.55348,0.394,0.79,8158.0,2.7913e-10
DTNB,0.5534,0.394,0.79,8159.0,2.7969e-10
MIS18BP1,0.57637,0.426,0.79,8160.0,3.8309e-13
WEE2,0.49708,0.323,0.79,8161.0,4.8102e-06
PI15,0.37568,0.195,0.79,8162.0,0.020554
CAPN7,0.57918,0.43,0.79,8163.0,1.2865e-13
TRIM47,0.45268,0.272,0.79,8164.0,0.00033657
KIF15,0.62682,0.501,0.79,8165.0,9.5235e-25
MAPK11,0.45284,0.272,0.79,8166.0,0.00033565
ARMC2,0.54393,0.382,0.79,8167.0,2.4785e-09
THBD,0.34569,0.169,0.791,8168.0,0.053769
C17orf99,0.30618,0.138,0.791,8169.0,0.13177
FAM122A,0.16685,0.058,0.791,8170.0,0.4938
MAGEA11,0.0,0.0,0.791,8171.0,0.68445
MKNK2,0.48791,0.312,0.791,8172.0,1.3965e-05
COX5A,0.16677,0.058,0.791,8173.0,0.49407
NKAIN3,0.34557,0.169,0.791,8174.0,0.05385
GFOD1,0.34585,0.169,0.791,8175.0,0.053666
CHID1,0.48841,0.312,0.791,8176.0,1.3831e-05
NSUN7,0.4973,0.323,0.791,8177.0,4.7893e-06
KCTD20,0.43876,0.257,0.792,8178.0,0.00094347
RAG2,0.37667,0.196,0.792,8179.0,0.020287
DCBLD1,0.52786,0.36,0.792,8180.0,6.325e-08
PTP4A1,0.25155,0.102,0.792,8181.0,0.28236
TMEM167B,0.0,0.0,0.792,8182.0,0.68405
TESPA1,0.4984,0.323,0.792,8183.0,4.6856e-06
ZNF142,0.59467,0.451,0.792,8184.0,4.8098e-16
PAPSS1,0.52781,0.36,0.792,8185.0,6.3322e-08
TUBA1C,0.4011,0.219,0.792,8186.0,0.0074331
RPL12,0.34673,0.17,0.793,8187.0,0.053094
B4GALNT1,0.47927,0.301,0.793,8188.0,3.9259e-05
ZNF501,0.25199,0.102,0.793,8189.0,0.28125
C1orf222,0.56005,0.402,0.793,8190.0,8.7836e-11
PSMB4,0.42201,0.239,0.793,8191.0,0.0026437
GAS2L2,0.50727,0.334,0.793,8192.0,1.5879e-06
SAP30BP,0.46758,0.287,0.793,8193.0,0.00011365
AIM1L,0.5681,0.413,0.793,8194.0,9.7435e-12
FAM149A,0.48926,0.313,0.793,8195.0,1.361e-05
CDH24,0.53556,0.369,0.794,8196.0,2.0554e-08
STK10,0.58806,0.441,0.794,8197.0,1.2774e-14
CGRRF1,0.40219,0.219,0.794,8198.0,0.0073203
MGLL,0.37769,0.196,0.794,8199.0,0.020016
TTC5,0.49916,0.324,0.794,8200.0,4.6155e-06
PCDH15,0.63026,0.503,0.794,8201.0,8.028300000000001e-25
OSR2,0.30711,0.139,0.794,8202.0,0.13046
RCBTB1,0.50812,0.335,0.794,8203.0,1.5605e-06
CCDC155,0.54625,0.383,0.794,8204.0,2.3366e-09
SSX2IP,0.54675,0.384,0.794,8205.0,2.307e-09
CDIPT,0.30734,0.139,0.794,8206.0,0.13014
METTL3,0.523,0.353,0.794,8207.0,1.799e-07
ASXL1,0.58868,0.441,0.794,8208.0,1.2511e-14
MRPL40,0.347,0.17,0.794,8209.0,0.052924
CEP120,0.59172,0.446,0.795,8210.0,4.0887e-15
CTSD,0.44053,0.258,0.795,8211.0,0.00091747
EXOC4,0.58003,0.429,0.795,8212.0,3.4137e-13
TMED7-TICAM2,0.42329,0.24,0.795,8213.0,0.0025936
SP140L,0.54198,0.377,0.795,8214.0,6.7873e-09
DEPDC1,0.55216,0.391,0.795,8215.0,7.635e-10
RAD21L1,0.50009,0.325,0.795,8216.0,4.5316e-06
AGL,0.6377,0.514,0.795,8217.0,2.7564e-27
C8orf46,0.30751,0.139,0.795,8218.0,0.12991
KLHL41,0.46891,0.288,0.795,8219.0,0.00011107
DRAP1,0.30751,0.139,0.795,8220.0,0.1299
IQGAP2,0.63647,0.512,0.795,8221.0,8.4988e-27
TRO,0.48036,0.301,0.795,8222.0,3.8486e-05
KCNK13,0.34746,0.17,0.795,8223.0,0.05263
TICAM2,0.42329,0.24,0.795,8224.0,0.0025936
VWC2L,0.30758,0.139,0.795,8225.0,0.1298
CHST3,0.40294,0.22,0.795,8226.0,0.0072431
POMT2,0.56922,0.414,0.795,8227.0,9.4315e-12
NLRP5,0.58284,0.433,0.795,8228.0,1.1427e-13
SLC35A3,0.42301,0.24,0.795,8229.0,0.0026044
FAM186A,0.63693,0.513,0.796,8230.0,8.3001e-27
CLIP4,0.53088,0.362,0.796,8231.0,5.9018e-08
TPRN,0.40317,0.22,0.796,8232.0,0.0072201
RPS28,0.0,0.0,0.796,8233.0,0.68259
MFN1,0.5574,0.397,0.796,8234.0,2.5118e-10
OLR1,0.40338,0.22,0.796,8235.0,0.007199
HNMT,0.37877,0.197,0.796,8236.0,0.019734
TSEN15,0.25288,0.102,0.796,8237.0,0.27906
PHOX2A,0.16788,0.059,0.796,8238.0,0.49018
STRADA,0.50062,0.325,0.796,8239.0,4.4847e-06
EIF2D,0.5481,0.385,0.796,8240.0,2.2302e-09
ZDHHC19,0.40355,0.22,0.796,8241.0,0.0071821
ZNF839,0.48075,0.302,0.796,8242.0,3.8218e-05
TEAD2,0.50932,0.335,0.796,8243.0,1.5226e-06
DOK3,0.44141,0.258,0.796,8244.0,0.00090501
VWCE,0.5738,0.42,0.796,8245.0,3.0509e-12
TMEM104,0.48084,0.302,0.796,8246.0,3.8156e-05
TGFBI,0.53039,0.362,0.796,8247.0,5.9686e-08
GCM2,0.44095,0.258,0.796,8248.0,0.00091142
PGF,0.30831,0.139,0.797,8249.0,0.1288
IFT81,0.5705,0.415,0.797,8250.0,9.0878e-12
MATN1,0.42428,0.24,0.797,8251.0,0.0025559
RBAK-RBAKDN,0.16811,0.059,0.797,8252.0,0.48937
ZNF460,0.0,0.0,0.797,8253.0,0.68181
RNF114,0.34829,0.171,0.797,8254.0,0.052109
TARS,0.57785,0.425,0.797,8255.0,9.9483e-13
WRAP73,0.51009,0.336,0.797,8256.0,1.4988e-06
CDC7,0.50125,0.325,0.797,8257.0,4.4296e-06
SCNN1B,0.53199,0.363,0.798,8258.0,5.7545e-08
TMEM38B,0.37968,0.197,0.798,8259.0,0.019501
VIPAS39,0.5541,0.392,0.798,8260.0,7.2613e-10
ZPBP,0.45736,0.275,0.798,8261.0,0.00031153
ARL5A,0.30883,0.14,0.798,8262.0,0.1281
NEK8,0.54404,0.379,0.798,8263.0,6.4566e-09
DNAH3,0.69069,0.599,0.798,8264.0,1.5364e-64
NLRP11,0.54947,0.386,0.798,8265.0,2.1548e-09
IMPDH2,0.50202,0.326,0.798,8266.0,4.3635e-06
ADK,0.45712,0.275,0.798,8267.0,0.00031276
MX2,0.54389,0.378,0.798,8268.0,6.4792e-09
SLC39A13,0.42553,0.241,0.799,8269.0,0.0025092
SLAMF1,0.40502,0.221,0.799,8270.0,0.0070368
TNFSF14,0.349,0.171,0.799,8271.0,0.051663
SNX4,0.53259,0.363,0.799,8272.0,5.6768e-08
CTNS,0.45781,0.275,0.799,8273.0,0.00030924
ITGA7,0.60485,0.463,0.799,8274.0,4.2657e-17
MRPS23,0.30909,0.14,0.799,8275.0,0.12774
SLC52A3,0.38028,0.198,0.8,8276.0,0.019348
LIN7C,0.34955,0.171,0.8,8277.0,0.051327
MOB2,0.34952,0.171,0.8,8278.0,0.051345
SLC39A6,0.51929,0.346,0.8,8279.0,4.9368e-07
GCC1,0.5118,0.337,0.8,8280.0,1.4478e-06
GFM1,0.58014,0.427,0.8,8281.0,9.278e-13
SPNS2,0.494,0.316,0.8,8282.0,1.2449e-05
WDHD1,0.61047,0.47,0.8,8283.0,4.3694e-18
CHMP2A,0.3095,0.14,0.8,8284.0,0.12719
CCDC124,0.25424,0.103,0.8,8285.0,0.27576
CARKD,0.40542,0.221,0.8,8286.0,0.0069972
MYO15A,0.68594,0.589,0.8,8287.0,1.2504000000000001e-56
NDUFC2,0.0,0.0,0.8,8288.0,0.68071
ELF5,0.44399,0.26,0.801,8289.0,0.00086946
GPX3,0.35014,0.171,0.801,8290.0,0.050966
CD274,0.38104,0.198,0.801,8291.0,0.01916
CCNDBP1,0.45924,0.276,0.801,8292.0,0.00030213
KIAA0408,0.51989,0.347,0.801,8293.0,4.8741e-07
RAP2B,0.16892,0.059,0.801,8294.0,0.48658
TLR3,0.52736,0.356,0.801,8295.0,1.6349e-07
FAM35A,0.49428,0.316,0.801,8296.0,1.2384e-05
GBA,0.51222,0.337,0.801,8297.0,1.4355e-06
KANK4,0.55105,0.387,0.801,8298.0,2.0713e-09
PCDHGA12,0.51265,0.338,0.801,8299.0,1.423e-06
B3GNT1,0.40604,0.221,0.801,8300.0,0.0069375
PRKAG1,0.48374,0.304,0.801,8301.0,3.6224e-05
SCN3B,0.35004,0.171,0.801,8302.0,0.05103
C2orf81,0.31008,0.14,0.801,8303.0,0.12641
RNF130,0.45901,0.276,0.801,8304.0,0.00030327
SIX5,0.40618,0.221,0.802,8305.0,0.006924
SLC39A1,0.31049,0.14,0.802,8306.0,0.12586
TMEM132A,0.55164,0.387,0.802,8307.0,2.041e-09
SQSTM1,0.44467,0.26,0.802,8308.0,0.00086035
SORBS3,0.57395,0.417,0.802,8309.0,8.2277e-12
ERCC6,0.62717,0.494,0.802,8310.0,5.1622e-22
RIOK3,0.52091,0.348,0.802,8311.0,4.7708e-07
EFNA3,0.31039,0.14,0.802,8312.0,0.12599
PDILT,0.49508,0.316,0.802,8313.0,1.2202e-05
ALKBH4,0.3104,0.14,0.802,8314.0,0.12598
TNK2,0.57398,0.417,0.802,8315.0,8.22e-12
LIG4,0.50443,0.327,0.802,8316.0,4.1635e-06
ZSCAN2,0.48464,0.304,0.802,8317.0,3.5648e-05
CT55,0.16923,0.059,0.802,8318.0,0.48549
ABHD17A,0.38191,0.199,0.803,8319.0,0.018945
RP9,0.38186,0.199,0.803,8320.0,0.018956
SNRPB2,0.3507,0.172,0.803,8321.0,0.050625
C12orf50,0.52137,0.348,0.803,8322.0,4.7252e-07
RNFT2,0.4959,0.317,0.803,8323.0,1.2018e-05
CHST15,0.48527,0.304,0.803,8324.0,3.5249e-05
TUBG2,0.49552,0.317,0.803,8325.0,1.2102e-05
SH2B3,0.47338,0.291,0.803,8326.0,0.00010289
SH3GL3,0.47365,0.291,0.803,8327.0,0.00010242
TMEM179,0.0,0.0,0.803,8328.0,0.67923
CLEC5A,0.31063,0.14,0.803,8329.0,0.12568
BCL2L13,0.42741,0.242,0.803,8330.0,0.0024411
TMEM214,0.55845,0.395,0.804,8331.0,6.4957e-10
C10orf71,0.55323,0.388,0.804,8332.0,1.9625e-09
HEY1,0.35145,0.172,0.804,8333.0,0.050181
F3,0.38221,0.199,0.804,8334.0,0.018872
ZNF397,0.48583,0.305,0.804,8335.0,3.4902e-05
SGSH,0.47414,0.291,0.804,8336.0,0.00010158
KLHL6,0.50618,0.329,0.805,8337.0,4.0253e-06
STAB1,0.68249,0.58,0.805,8338.0,8.679199999999999e-50
C2orf69,0.38301,0.199,0.805,8339.0,0.018679
ZDHHC18,0.42854,0.243,0.805,8340.0,0.0024011
MTHFD2,0.42865,0.243,0.805,8341.0,0.0023975
RBMS2,0.51487,0.339,0.805,8342.0,1.3611e-06
ERCC5,0.5872,0.434,0.805,8343.0,2.732e-13
RP11-977G19.10,0.42844,0.243,0.805,8344.0,0.0024046
TBCE,0.54254,0.374,0.805,8345.0,1.7455e-08
SLC26A7,0.55427,0.389,0.805,8346.0,1.9125e-09
PCDH8,0.48691,0.305,0.806,8347.0,3.424e-05
SPOCD1,0.58068,0.425,0.806,8348.0,2.491e-12
FGD2,0.54916,0.382,0.806,8349.0,5.7084e-09
TAP2,0.56896,0.408,0.806,8350.0,6.8911e-11
PDAP1,0.35239,0.173,0.806,8351.0,0.049626
BYSL,0.47528,0.292,0.806,8352.0,9.9642e-05
IGF1,0.25599,0.104,0.806,8353.0,0.2716
UBE2QL1,0.0,0.0,0.806,8354.0,0.6783
GIP,0.25621,0.104,0.806,8355.0,0.27108
ZNF70,0.42936,0.243,0.806,8356.0,0.0023729
QARS,0.58765,0.434,0.806,8357.0,2.6952e-13
RPL36,0.0,0.0,0.806,8358.0,0.67802
DRD3,0.42946,0.243,0.807,8359.0,0.0023694
WIPF3,0.42988,0.243,0.807,8360.0,0.002355
SLC33A1,0.47572,0.292,0.807,8361.0,9.8902e-05
DNHD1,0.70339,0.614,0.807,8362.0,1.2016e-72
POLB,0.48731,0.306,0.807,8363.0,3.4002e-05
TESK2,0.5242,0.35,0.807,8364.0,4.4552e-07
MDH2,0.40877,0.223,0.807,8365.0,0.0066821
RNF115,0.42956,0.243,0.807,8366.0,0.002366
DPP3,0.56948,0.409,0.807,8367.0,6.7954e-11
CHMP5,0.40911,0.223,0.807,8368.0,0.0066514
CRISPLD1,0.55628,0.39,0.808,8369.0,1.8207e-09
NDUFS1,0.57042,0.409,0.808,8370.0,6.626e-11
NT5DC3,0.53227,0.359,0.808,8371.0,1.4702e-07
PDE4C,0.53211,0.359,0.808,8372.0,1.4755e-07
GAPDHS,0.48837,0.306,0.808,8373.0,3.3372e-05
NXNL2,0.0,0.0,0.808,8374.0,0.67718
SUPT20H,0.59586,0.445,0.808,8375.0,2.7313e-14
GABRG1,0.47649,0.293,0.808,8376.0,9.7634e-05
NOV,0.40919,0.223,0.808,8377.0,0.0066442
SLC25A22,0.40959,0.223,0.808,8378.0,0.0066081
ANXA2,0.47644,0.293,0.808,8379.0,9.7728e-05
FBXO43,0.4994,0.319,0.809,8380.0,1.1268e-05
CCNH,0.44835,0.262,0.809,8381.0,0.00081328
KPTN,0.49901,0.319,0.809,8382.0,1.1348e-05
MFSD5,0.43076,0.244,0.809,8383.0,0.0023254
CCDC91,0.50908,0.33,0.809,8384.0,3.8084e-06
KIAA1147,0.46382,0.279,0.809,8385.0,0.00028067
TMEM145,0.53236,0.359,0.809,8386.0,1.4675e-07
AASS,0.58328,0.427,0.809,8387.0,2.3101e-12
SPATA17,0.53241,0.359,0.809,8388.0,1.4658e-07
INSM1,0.25713,0.104,0.809,8389.0,0.26893
MAT1A,0.44864,0.262,0.809,8390.0,0.00080978
RBBP9,0.35409,0.173,0.81,8391.0,0.048641
ADO,0.17076,0.06,0.81,8392.0,0.48027
NOMO3,0.47761,0.294,0.81,8393.0,9.5825e-05
LIN37,0.41053,0.224,0.81,8394.0,0.0065239
IL2,0.17094,0.06,0.81,8395.0,0.47968
LRRC73,0.35396,0.173,0.81,8396.0,0.048718
PAPOLB,0.43127,0.244,0.81,8397.0,0.0023083
AMDHD2,0.43113,0.244,0.81,8398.0,0.002313
ZNF300,0.49987,0.319,0.81,8399.0,1.1172e-05
CHST2,0.38574,0.201,0.811,8400.0,0.018039
RPP25L,0.0,0.0,0.811,8401.0,0.67629
CASP8,0.51026,0.331,0.811,8402.0,3.7236e-06
EIF4E3,0.38566,0.201,0.811,8403.0,0.018058
GAS2,0.44929,0.263,0.811,8404.0,0.00080175
HRH2,0.31371,0.142,0.811,8405.0,0.1217
SRSF2,0.17115,0.06,0.811,8406.0,0.47898
CDC123,0.50039,0.32,0.811,8407.0,1.1066e-05
GSTCD,0.53385,0.36,0.811,8408.0,1.4216e-07
GTF2H4,0.52666,0.351,0.811,8409.0,4.2353e-07
TEAD4,0.49019,0.308,0.811,8410.0,3.233e-05
PIGO,0.57326,0.411,0.812,8411.0,6.1434e-11
CEP97,0.57722,0.417,0.812,8412.0,2.0368e-11
KCNU1,0.6101,0.463,0.812,8413.0,2.7854e-16
GPR133,0.59859,0.447,0.812,8414.0,2.5037e-14
PPIL1,0.3142,0.142,0.812,8415.0,0.12108
ATP5C1,0.45011,0.263,0.812,8416.0,0.00079192
LRCH3,0.58156,0.423,0.812,8417.0,6.6316e-12
SPG11,0.67499,0.563,0.812,8418.0,1.6013e-39
PDK1,0.50091,0.32,0.812,8419.0,1.0963e-05
WNT11,0.41151,0.224,0.812,8420.0,0.0064383
ARHGAP40,0.52761,0.352,0.812,8421.0,4.1535e-07
CEP135,0.63547,0.501,0.813,8422.0,3.5892e-22
DIRAS2,0.17143,0.06,0.813,8423.0,0.47802
SOHLH1,0.43275,0.245,0.813,8424.0,0.00226
BRCC3,0.41203,0.225,0.813,8425.0,0.0063932
OR12D2,0.0,0.0,0.813,8426.0,0.6753
GJA5,0.38648,0.201,0.813,8427.0,0.017871
IL6R,0.49136,0.308,0.813,8428.0,3.1681e-05
SH3TC2,0.60827,0.46,0.813,8429.0,8.3409e-16
