gene,oe_lof,oe_lof_lower,oe_lof_upper,oe_lof_upper_rank,pLI
ZNF521,0.020618,0.006,0.098,190.0,1.0
TAB2,0.0,0.0,0.098,191.0,0.99998
CTNND2,0.031044,0.012,0.098,192.0,1.0
DDX5,0.0,0.0,0.098,193.0,0.99998
ACTN4,0.02077,0.006,0.099,194.0,1.0
UPF2,0.031537,0.012,0.099,195.0,1.0
CARM1,0.0,0.0,0.099,196.0,0.99998
PAXIP1,0.03149,0.012,0.099,197.0,1.0
BPTF,0.052698,0.029,0.099,198.0,1.0
EP300,0.049966,0.026,0.099,199.0,1.0
FBXL19,0.0,0.0,0.1,200.0,0.99997
CREBRF,0.0,0.0,0.1,201.0,0.99997
HDAC2,0.0,0.0,0.1,202.0,0.99997
SP1,0.0,0.0,0.1,203.0,0.99997
MAPK8IP2,0.0,0.0,0.1,204.0,0.99997
AP2A1,0.021266,0.007,0.101,205.0,1.0
ARCN1,0.0,0.0,0.101,206.0,0.99997
SPTAN1,0.055885,0.032,0.101,207.0,1.0
RPTOR,0.039042,0.017,0.101,208.0,1.0
CAND1,0.021234,0.007,0.101,209.0,1.0
COPS2,0.0,0.0,0.101,210.0,0.99997
SALL4,0.0,0.0,0.101,211.0,0.99997
CACNA1C,0.048672,0.024,0.102,212.0,1.0
ARID1B,0.044396,0.021,0.102,213.0,1.0
PSMD2,0.021599,0.007,0.102,214.0,1.0
PSMD3,0.0,0.0,0.102,215.0,0.99997
KMT2D,0.066852,0.044,0.103,216.0,1.0
UBAP2L,0.03259,0.012,0.103,217.0,1.0
ZNF148,0.0,0.0,0.103,218.0,0.99997
BTK,0.0,0.0,0.103,219.0,0.99996
RRM1,0.021629,0.007,0.103,220.0,1.0
PPP2R5E,0.0,0.0,0.103,221.0,0.99997
RFX3,0.021827,0.007,0.104,222.0,1.0
BIRC6,0.066571,0.043,0.104,223.0,1.0
LMNB2,0.0,0.0,0.104,224.0,0.99996
CLTC,0.045332,0.021,0.104,225.0,1.0
COPA,0.040587,0.017,0.105,226.0,1.0
COL1A1,0.0461,0.022,0.105,227.0,1.0
DHX15,0.022077,0.007,0.105,228.0,1.0
DHX9,0.040774,0.018,0.105,229.0,1.0
MAP2,0.033266,0.013,0.105,230.0,1.0
ZMYM3,0.022443,0.007,0.106,231.0,1.0
AGO2,0.022251,0.007,0.106,232.0,1.0
ANK2,0.062573,0.038,0.106,233.0,1.0
RALGAPB,0.041206,0.018,0.106,234.0,1.0
IPO7,0.033534,0.013,0.106,235.0,1.0
PRPF19,0.0,0.0,0.106,236.0,0.99995
SCAF4,0.033544,0.013,0.106,237.0,1.0
TBL1XR1,0.0,0.0,0.106,238.0,0.99995
ZCCHC11,0.046618,0.022,0.107,239.0,1.0
ZCCHC6,0.041431,0.018,0.107,240.0,1.0
ANKRD11,0.046779,0.022,0.107,241.0,1.0
PAFAH1B1,0.0,0.0,0.107,242.0,0.99995
ZEB2,0.022589,0.007,0.107,243.0,1.0
AP2A2,0.022726,0.007,0.108,244.0,1.0
SMU1,0.0,0.0,0.108,245.0,0.99994
NAA25,0.034183,0.013,0.108,246.0,1.0
UBA1,0.022675,0.007,0.108,247.0,1.0
BAZ1B,0.042263,0.018,0.109,248.0,1.0
HNRNPH1,0.0,0.0,0.109,249.0,0.99993
VPRBP,0.023066,0.007,0.109,250.0,1.0
CTIF,0.0,0.0,0.109,251.0,0.99994
ABCB7,0.0,0.0,0.109,252.0,0.99994
UTP15,0.0,0.0,0.11,253.0,0.99993
SETBP1,0.023109,0.007,0.11,254.0,1.0
ARID5B,0.023254,0.007,0.11,255.0,1.0
RBM10,0.023218,0.007,0.11,256.0,1.0
TPR,0.063762,0.037,0.111,257.0,1.0
RCOR1,0.0,0.0,0.111,258.0,0.99992
SUFU,0.0,0.0,0.111,259.0,0.99992
TRPS1,0.023333,0.007,0.111,260.0,1.0
MTA1,0.023416,0.007,0.111,261.0,1.0
RUVBL2,0.0,0.0,0.111,262.0,0.99992
EIF4G3,0.04915,0.023,0.112,263.0,1.0
MDM4,0.0,0.0,0.112,264.0,0.99992
NTRK2,0.023575,0.007,0.112,265.0,1.0
ANKHD1,0.056598,0.03,0.112,266.0,1.0
ANKHD1-EIF4EBP3,0.056598,0.03,0.112,267.0,1.0
RORB,0.0,0.0,0.112,268.0,0.99991
TIAL1,0.0,0.0,0.112,269.0,0.99992
NRXN3,0.023512,0.007,0.112,270.0,1.0
PTPRD,0.053067,0.027,0.112,271.0,1.0
WAPAL,0.035428,0.013,0.112,272.0,1.0
RBM26,0.035521,0.014,0.112,273.0,1.0
RIF1,0.057117,0.03,0.113,274.0,1.0
NLK,0.0,0.0,0.113,275.0,0.99991
PHIP,0.057367,0.03,0.113,276.0,1.0
LPHN2,0.043796,0.019,0.113,277.0,1.0
DPYSL5,0.0,0.0,0.113,278.0,0.99991
USP8,0.035998,0.014,0.113,279.0,1.0
